motif	condition	total_snps	differential_snps	motif_snps	motif_differential_snps	estimate	p.value	conf.low	conf.high	method	alternative	log_odds	fdr
AHR_si	airway	11926	1334	5897	622	0.9429687379281148	0.2543157459853781	0.8516776837493456	1.0432720921425054	Fisher's Exact Test for Count Data	two.sided	-0.0587221486181307	0.431903275426304
AHR_si	ast	11926	1132	5897	551	0.9843941670786021	0.7863887536851926	0.883307662089172	1.0961516557017335	Fisher's Exact Test for Count Data	two.sided	-0.015728885839757872	0.86654967180278
AHR_si	colon	11926	1148	5897	551	0.9706741632371173	0.5894095693925454	0.8711947919413563	1.0806374654295616	Fisher's Exact Test for Count Data	two.sided	-0.029764435248331198	0.7208450093757439
AHR_si	endo	11926	947	5897	457	0.9759556531251776	0.7017082769841365	0.8671609014996196	1.0972392533078308	Fisher's Exact Test for Count Data	two.sided	-0.02433813097309745	0.8020673192755579
AHR_si	eso	11926	1335	5897	630	0.9543826303754895	0.3629222683176981	0.8623378793280096	1.0554590906019092	Fisher's Exact Test for Count Data	two.sided	-0.04669060788679178	0.533058800983587
AHR_si	hmec	11926	1460	5897	716	0.9917996927231769	0.8848668176803215	0.9008728327957318	1.0912562420056555	Fisher's Exact Test for Count Data	two.sided	-0.008234114744476698	0.9361898113285251
AHR_si	kc	11926	1360	5897	609	0.9056044545416118	0.05470372368918754	0.8175965734159387	1.0023156572386973	Fisher's Exact Test for Count Data	two.sided	-0.09915265266102763	0.1530270754393838
AHR_si	lx	11926	1513	5897	633	0.8460930862250291	7.751421136926001e-4	0.7659680044337102	0.933934017271807	Fisher's Exact Test for Count Data	two.sided	-0.16712589443002776	0.0074022357119079285
AHR_si	mc	11926	1362	5897	653	0.9696159527662163	0.5487448426750036	0.8773461554389208	1.0708266877894135	Fisher's Exact Test for Count Data	two.sided	-0.03085521086698104	0.6903191644594215
AHR_si	ov	11926	992	5897	486	0.990805540326207	0.8856555986408697	0.8831263950956411	1.1105639872695643	Fisher's Exact Test for Count Data	two.sided	-0.009236989612070845	0.9365733537369748
AHR_si	panc	11926	1301	5897	658	1.02286530695869	0.6673216557114314	0.9251236024541067	1.1301198199589544	Fisher's Exact Test for Count Data	two.sided	0.022607813548911313	0.7791501675474486
AHR_si	pros	11926	1293	5897	607	0.9494087678583772	0.329383795656795	0.8564202636890618	1.05167431637539	Fisher's Exact Test for Count Data	two.sided	-0.05191583775022462	0.5035949694210539
AHR_si	renal	11926	1387	5897	656	0.9565125433179361	0.3846456405387113	0.865855357028168	1.055916220109574	Fisher's Exact Test for Count Data	two.sided	-0.04446137642102263	0.5527431824856769
AHR_si	thy	11926	1577	5897	756	0.969513168377562	0.52734087185935	0.8829374303736162	1.0639258570889893	Fisher's Exact Test for Count Data	two.sided	-0.030961221743337673	0.6743195148610042
AIRE_f2	airway	11926	1334	2957	341	1.030960548370919	0.6285044379805883	0.9065532588507781	1.1701442157897477	Fisher's Exact Test for Count Data	two.sided	0.030490938901053255	0.7518910406739958
AIRE_f2	ast	11926	1132	2957	289	1.0296625349866515	0.6765436809494304	0.8961564836017378	1.1802939541397328	Fisher's Exact Test for Count Data	two.sided	0.029231112621875277	0.7855240174634459
AIRE_f2	colon	11926	1148	2957	296	1.039904853209594	0.5577020953682051	0.906360922273157	1.1903705358353673	Fisher's Exact Test for Count Data	two.sided	0.03912922166959586	0.6973317561412111
AIRE_f2	endo	11926	947	2957	258	1.09879500314888	0.20286429880976226	0.9481868208899554	1.2699565437390816	Fisher's Exact Test for Count Data	two.sided	0.09421412767574754	0.3728013459221515
AIRE_f2	eso	11926	1335	2957	359	1.0845732756490476	0.19983880835892323	0.95599977625962	1.2281873369975165	Fisher's Exact Test for Count Data	two.sided	0.08118661529924749	0.36928482113435646
AIRE_f2	hmec	11926	1460	2957	394	1.0884015711474941	0.1660683302890733	0.9643570305577115	1.2263535739062834	Fisher's Exact Test for Count Data	two.sided	0.08471017146458752	0.3246424063008765
AIRE_f2	kc	11926	1360	2957	362	1.0735315156095309	0.2652886057511816	0.9468411826365182	1.214982031381024	Fisher's Exact Test for Count Data	two.sided	0.07095369571622849	0.44298750982697316
AIRE_f2	lx	11926	1513	2957	444	1.183575863270674	0.00402512322135076	1.0543943606094788	1.3266855882157458	Fisher's Exact Test for Count Data	two.sided	0.1685402486954594	0.024578331580423742
AIRE_f2	mc	11926	1362	2957	362	1.0719549167230453	0.2656765611224068	0.9454703784605955	1.2131649165647744	Fisher's Exact Test for Count Data	two.sided	0.06948400646859483	0.44326388009761314
AIRE_f2	ov	11926	992	2957	236	0.9594786844805665	0.6022158243773306	0.824282717837612	1.1135372419161795	Fisher's Exact Test for Count Data	two.sided	-0.04136517901765672	0.7317167069365208
AIRE_f2	panc	11926	1301	2957	302	0.9362149527345256	0.33855707482735425	0.8180853349331845	1.0689767734461215	Fisher's Exact Test for Count Data	two.sided	-0.06591017851275269	0.51069750020639
AIRE_f2	pros	11926	1293	2957	359	1.1198078958204223	0.07489124954675308	0.9866816165228462	1.2685966473472134	Fisher's Exact Test for Count Data	two.sided	0.11315714900658452	0.18962299440512068
AIRE_f2	renal	11926	1387	2957	339	0.9857473822161075	0.8483266641529242	0.866938598772663	1.1186142056576305	Fisher's Exact Test for Count Data	two.sided	-0.014355161854497844	0.9115224022010497
AIRE_f2	thy	11926	1577	2957	418	1.0690287133874585	0.25742666345624277	0.9504061540836535	1.2005540930465695	Fisher's Exact Test for Count Data	two.sided	0.0667504917265789	0.43496229342606535
